DATE,BCI01,BCI05,BCI08,BCI19,BCI27,BCI29,BCI32,BCI83,BCI106,BCI129,BCI05,BCI106,GDP
2014/1/1,41.6,364000,211957,1859.449951,67851,985,46,81.2,10987.9,2.79,330500,11140.8,17102.932
2014/2/1,41.6,334000,211082,1872.339966,66850,1047,42,81.6,11002.6,2.64,320250,11177.375,17210.54333
2014/3/1,42,332000,215012,1883.949951,68370,1061,44,80,11006.2,2.64,327000,11225.5,17318.15467
2014/4/1,42,322000,212863,1923.569946,66384,1089,44,84.1,11031.9,2.62,312000,11289.75,17425.766
2014/5/1,42.2,316000,214228,1960.22998,65391,1019,48,81.9,11028.4,2.47,314500,11352,17523.78933
2014/6/1,42.1,324000,212498,1930.670044,69253,1002,48,82.5,11035.4,2.5,301750,11391.775,17621.81267
2014/7/1,42,343000,212596,2003.369995,67562,1072,48,81.8,11034.9,2.45,301250,11449.725,17719.836
2014/8/1,42,334000,211526,1972.290039,68276,1042,48,82.5,11065.2,2.33,296750,11466.55,17759.37533
2014/9/1,42.2,340000,210070,2018.050049,69513,1072,50,84.6,11105.9,2.44,287500,11506.425,17798.91467
2014/10/1,42.1,334000,208388,2067.560059,65175,1099,52,86.9,11101.6,2.21,288250,11556.25,17838.454
2014/11/1,42.2,342000,204804,2058.899902,64278,1063,54,88.8,11136.9,2.24,293000,11598,17882.44333
2014/12/1,42.1,321000,200609,1994.98999,65880,1077,60,93.6,11163.3,2.09,288750,11671.85,17926.43267
2015/1/1,42,325000,195330,2104.5,65614,1060,58,98.1,11161.4,1.77,286750,11713.525,17970.422
2015/2/1,42,322000,185442,2067.889893,63924,1133,54,95.4,11148.6,1.87,301750,11838.2,18054.04767
2015/3/1,41.9,314000,189325,2085.51001,64504,1071,42,93,11167,1.93,283250,11864.325,18137.67333
2015/4/1,41.9,332000,192217,2107.389893,64022,1170,48,95.9,11183.9,1.82,282500,11906.2,18221.299
2015/5/1,41.8,313000,191183,2063.110107,62840,1271,52,90.7,11210,2.08,276500,11922.325,18257.897
2015/6/1,41.8,310000,191942,2103.840088,63157,1362,48,96.1,11212.7,2.23,275250,11971.875,18294.495
2015/7/1,41.8,329000,193753,1972.180054,64074,1139,48,93.1,11215.5,2.19,276750,12033.2,18331.093
2015/8/1,41.8,344000,191729,1920.030029,63299,1159,46,91.9,11237.3,2.03,273250,12055.475,18338.85267
2015/9/1,41.7,325000,187279,2079.360107,63499,1135,55,87.2,11236.5,2.03,269000,12120.6,18346.61233
2015/10/1,41.8,303000,186530,2080.409912,62763,1162,54,90,11283.7,1.95,266000,12160.025,18354.372
2015/11/1,41.8,326000,184608,2043.939941,62323,1258,60,91.3,11283.8,2.14,271500,12195.975,18372.62467
2015/12/1,41.7,306000,183077,1940.23999,60212,1217,60,92.6,11293.6,2,269000,12279.25,18390.87733
2016/1/1,41.8,313000,179647,1932.22998,61655,1179,63,92,11297.9,1.75,272250,12336.1,18409.13
